year,locality_id,pland_00_water,pland_01_evergreen_needleleaf,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren
2011,L298330,0.03225806451612903,0,0,0,0,0,0.06451612903225806,0.1935483870967742,0.4838709677419355,0.22580645161290322,0,0,0
2011,L862470,0.034482758620689655,0,0,0,0,0,0,0.034482758620689655,0.1724137931034483,0.7586206896551724,0,0,0
2011,L250656,0.12903225806451613,0,0,0,0,0,0,0.5161290322580645,0.16129032258064516,0.1935483870967742,0,0,0
2011,L603840,0.6451612903225806,0,0,0,0,0,0,0,0.3548387096774194,0,0,0,0
2011,L10109091,0.03333333333333333,0,0,0,0,0,0,0.6,0.16666666666666666,0.2,0,0,0
2011,L299654,0.06666666666666667,0,0,0,0,0.03333333333333333,0.43333333333333335,0.06666666666666667,0.23333333333333334,0.06666666666666667,0,0.1,0
2011,L1215949,0.15625,0,0,0,0,0,0.28125,0.0625,0.125,0,0.375,0,0
2011,L265942,0.16666666666666666,0,0,0,0,0,0.03333333333333333,0,0.06666666666666667,0,0.7333333333333333,0,0
2011,L317582,0.2413793103448276,0,0,0.034482758620689655,0,0,0,0,0.7241379310344828,0,0,0,0
2011,L1102913,0.4375,0,0,0.03125,0,0,0.0625,0.03125,0.125,0,0.3125,0,0
2011,L480981,0.3870967741935484,0,0,0,0,0,0,0.16129032258064516,0.2903225806451613,0.16129032258064516,0,0,0
2011,L1190912,0.4666666666666667,0,0,0,0,0,0.1,0.03333333333333333,0.26666666666666666,0,0.13333333333333333,0,0
2011,L10021923,0.03225806451612903,0,0,0,0,0,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.6451612903225806,0,0,0
2011,L356690,0.13333333333333333,0,0,0,0,0,0,0.4,0.06666666666666667,0.4,0,0,0
2011,L190873,0.4,0,0,0,0,0,0.36666666666666664,0.03333333333333333,0.16666666666666666,0,0.03333333333333333,0,0
2011,L629302,0.2903225806451613,0,0,0,0,0,0.0967741935483871,0.1935483870967742,0.12903225806451613,0,0.2903225806451613,0,0
2011,L10021977,0.0967741935483871,0,0,0,0,0,0,0.4838709677419355,0.16129032258064516,0.25806451612903225,0,0,0
2011,L1190936,0.3548387096774194,0,0,0,0,0,0,0,0,0.06451612903225806,0.4838709677419355,0,0.0967741935483871
2011,L1158916,0.034482758620689655,0,0,0,0,0,0,0.10344827586206896,0.10344827586206896,0.20689655172413793,0.5517241379310345,0,0
2011,L1212358,0.23333333333333334,0,0,0,0,0,0,0.5666666666666667,0.03333333333333333,0,0,0,0.16666666666666666
2011,L1772667,0.034482758620689655,0,0,0,0,0,0.3793103448275862,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.27586206896551724,0,0.034482758620689655
2011,L10021999,0.03333333333333333,0,0,0,0,0,0,0.4,0.06666666666666667,0.5,0,0,0
2011,L1080506,0.41935483870967744,0,0,0,0,0,0,0,0,0,0.5483870967741935,0,0.03225806451612903
2011,L10021920,0.0625,0,0,0,0,0,0.03125,0.25,0.0625,0.59375,0,0,0
2011,L587035,0.1875,0,0,0,0,0,0,0,0.09375,0,0.71875,0,0
2011,L10021992,0.03333333333333333,0,0,0,0,0,0,0.3333333333333333,0.06666666666666667,0.5666666666666667,0,0,0
2011,L10021907,0.12903225806451613,0,0,0,0,0,0,0.3225806451612903,0.1935483870967742,0.3548387096774194,0,0,0
2011,L1402590,0.03333333333333333,0,0,0,0,0,0,0.16666666666666666,0.13333333333333333,0.6,0,0.06666666666666667,0
2011,L697692,0.06451612903225806,0,0,0,0,0.03225806451612903,0.41935483870967744,0.06451612903225806,0.25806451612903225,0.06451612903225806,0,0.0967741935483871,0
2011,L1772890,0.13333333333333333,0,0,0,0,0,0.26666666666666666,0.1,0.23333333333333334,0,0.26666666666666666,0,0
2011,L612903,0.2,0,0,0,0,0,0,0.06666666666666667,0.26666666666666666,0.4666666666666667,0,0,0
2011,L157757,0.2903225806451613,0,0,0,0,0,0,0,0,0,0.5806451612903226,0,0.12903225806451613
2011,L152654,0.4,0,0,0,0,0,0.23333333333333334,0.03333333333333333,0.13333333333333333,0,0.2,0,0
2011,L2340416,0.25,0,0,0,0,0,0.03125,0.03125,0.125,0,0.5625,0,0
2011,L1190911,0.12903225806451613,0,0,0,0,0,0.06451612903225806,0.16129032258064516,0.5483870967741935,0,0.0967741935483871,0,0
2011,L275986,0.3225806451612903,0,0,0.03225806451612903,0,0,0,0,0.6451612903225806,0,0,0,0
2011,L165244,0.43333333333333335,0,0,0,0,0,0,0,0,0,0.5666666666666667,0,0
2011,L10021941,0.1875,0,0,0,0,0,0.03125,0.28125,0.125,0.375,0,0,0
2011,L950064,0.3125,0,0,0,0,0,0,0,0.03125,0,0.65625,0,0
2011,L10021899,0.15625,0,0,0,0,0,0,0.34375,0.09375,0.40625,0,0,0
2011,L683593,0.03333333333333333,0,0,0.7666666666666667,0,0.1,0.1,0,0,0,0,0,0
2011,L10022008,0.125,0,0,0,0,0,0,0.4375,0.0625,0.375,0,0,0
2011,L10021929,0.06451612903225806,0,0,0,0,0,0.03225806451612903,0.2903225806451613,0.03225806451612903,0.5806451612903226,0,0,0
2011,L680982,0.16129032258064516,0,0,0,0,0,0.22580645161290322,0,0.2903225806451613,0.3225806451612903,0,0,0
2011,L1772652,0.06451612903225806,0,0,0,0,0,0.25806451612903225,0.22580645161290322,0.06451612903225806,0.06451612903225806,0.2903225806451613,0,0.03225806451612903
