year,locality_id,pland_00_water,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2016,L900304,0,0,0.13333333333333333,0,0,0.43333333333333335,0,0,0,0.43333333333333335,0,0,344,200.0690680609809,1.474193937791708
2016,L4744673,0,0,0.125,0,0,0.21875,0.09375,0.40625,0.15625,0,0,0,2873,145.2859141031901,16.89939703535775
2016,L746063,0,0,0.6333333333333333,0,0,0.23333333333333334,0,0,0,0.13333333333333333,0,0,157,207.37081909179687,13.39089253984693
2016,L4603372,0,0,0.13333333333333333,0,0,0,0,0,0.8,0,0.06666666666666667,0,2874,209.1709442138672,2.9001809490866832
2016,L745998,0,0,0.6451612903225806,0,0,0,0,0,0,0.3548387096774194,0,0,422,215.91622924804687,4.871742912116047
2016,L1056903,0,0,0.03333333333333333,0,0,0,0,0,0.9666666666666667,0,0,0,2218,211.6502227783203,6.352990012989052
2016,L1170758,0,0,0.1935483870967742,0,0,0.5161290322580645,0,0,0,0.2903225806451613,0,0,627,206.55905503493088,4.48874959870777
2016,L932088,0,0,0.1,0,0,0.26666666666666666,0.06666666666666667,0,0,0.5666666666666667,0,0,84,199.8647575378418,4.459338796620645
2016,L4727247,0,0,0.03125,0,0,0.1875,0.09375,0,0,0.6875,0,0,2877,223.71683795635516,7.8670894920708845
2016,L4721234,0,0,0.0625,0,0,0.03125,0,0,0.375,0,0.53125,0,2880,277.56761423746747,12.955166620038625
2016,L344899,0,0,0.06451612903225806,0,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.4838709677419355,0,0.22580645161290322,0,1300,201.67766316731772,8.986149205402612
2016,L3596415,0,0,0.03333333333333333,0,0,0.03333333333333333,0.1,0.26666666666666666,0,0.5666666666666667,0,0,2882,163.79201126098633,19.716946023256995
2016,L569199,0,0,0.03225806451612903,0,0,0.2903225806451613,0.1935483870967742,0.0967741935483871,0.03225806451612903,0.3548387096774194,0,0,636,218.17673284357244,2.8193846755285557
2016,L152618,0,0,0.6875,0,0,0.09375,0,0,0,0.21875,0,0,1554,209.53289922078451,12.341747386736568
2016,L4521483,0,0,0.1,0,0,0.26666666666666666,0.03333333333333333,0,0,0.6,0,0,2884,204.06553297776443,2.672643338060467
